 sa3_code16, sa3_name16, year, erp_p_0_14_yrs_%, erp_p_15_24_yrs_%, erp_p_25_34_yrs_%, erp_p_35_44_yrs_%, erp_p_45_54_yrs_%, erp_p_55_64_yrs_%, erp_p_65_74_yrs_%, erp_p_75_84_yrs_%, erp_p_85_yrs_&_over_%,erp_p_50_54_yrs_cnt, erp_p_15_19_yrs_cnt, erp_p_80_84_yrs_cnt, erp_p_45_49_yrs_cnt, citizenship_not_au_citizen_%, erp_p_35_39_yrs_cnt, citizenship_au_citizen_%, born_in_southern_&_eastern_eu_%, erp_p_65_69_yrs_cnt, erp_p_40_44_yrs_cnt, erp_p_55_59_yrs_cnt, born_in_sub_saharan_africa_%, born_in_southern_central_asia_%, erp_p_75_79_yrs_cnt, born_in_americas_%, citizenship_not_stated_%, erp_p_tot_cnt, erp_p_5_9_yrs_cnt, born_in_south_east_asia_%, erp_p_30_34_yrs_cnt, born_in_north_africa_middle_east_%, pop_dens_p_per_km2, erp_p_0_4_yrs_cnt, born_in_north_west_eu_%, erp_p_25_29_yrs_cnt, erp_p_70_74_yrs_cnt, erp_p_85_yrs_&_over_cnt, born_in_oceania_antarctica_(exc._aus)_%, erp_p_20_24_yrs_cnt, erp_p_60_64_yrs_cnt, erp_p_10_14_yrs_cnt, born_in_north_east_asia_%
20101,Ballarat,2016,19.7,14.4,14.7,12.2,12.6,11.6,9.1,5.1,2.2,6649,7009,2254,6617,4,6283,89.7,0.7,5491,6585,6347,0.5,1.1,3093,0.4,6.4,105564,7106,0.9,6693,0.3,235.5,7163,3.7,7303,4110,2348,0.9,8163,5872,6478,0.9
20102,Creswick  Daylesford  Ballan,2016,17.7,9.5,7.9,12.1,15.7,16.4,12.9,5.3,2.2,2366,1541,598,2139,4.2,1538,87.5,1.8,2161,1947,2367,0.4,0.4,922,0.7,8.2,28746,1826,0.6,1289,0.2,7.8,1493,6.8,1105,1545,626,1.3,1179,2343,1761,0.2
20103,Maryborough  Pyrenees,2016,16.6,9.7,8.7,10.6,13.8,16.3,14.8,7,2.6,1819,1337,679,1691,3.3,1181,88.7,0.8,2105,1514,2013,0.2,0.3,1116,0.4,8.1,25475,1495,0.7,1095,0.1,4.1,1260,5.6,1081,1669,673,1,1146,2134,1467,0.2
20201,Bendigo,2016,19.6,14.2,14.7,11.9,12,11.8,9.1,5.3,2.5,5758,6194,2142,5750,3.5,5600,89.8,0.4,4993,5759,5877,0.4,1.1,2958,0.3,6.7,95587,6388,1.6,6252,0.3,332.5,6536,2.6,6725,3678,2427,0.8,7341,5361,5848,0.5
20202,Heathcote  Castlemaine  Kyneton,2016,17.8,9.8,8.3,12.3,15.1,15.6,12.6,5.8,2.4,3702,2714,1054,3522,3.6,2651,87.1,1,3418,3244,3762,0.4,0.4,1716,0.6,9.2,47826,2948,0.7,2163,0.3,12.2,2658,6.1,1987,2596,1135,1.3,1995,3677,2884,0.6
20203,Loddon  Elmore,2016,17.7,9.6,7.1,10.6,14.7,17.3,13.2,6.5,2.7,903,689,311,787,2.9,568,88.2,0.7,908,646,1017,0.4,0.2,439,0.2,8.9,11472,709,0.9,472,0.1,1.5,611,3.5,408,610,307,0.9,410,962,715,0.1
20301,Barwon  West,2016,22.7,11.2,9.1,14.3,14.7,13.1,8.9,3.4,1.3,1385,1254,259,1456,3.2,1314,91.1,1.2,1038,1437,1312,0.3,0.2,399,0.3,5.7,19282,1481,0.4,1127,0.1,7.5,1346,5.8,842,685,260,1,910,1221,1556,0.2
20302,Geelong,2016,18.2,14.1,14.9,12.6,12.7,11.5,9,5.3,2.6,12144,12447,4336,12278,6.6,11647,86.6,3.6,9869,12524,11667,0.6,2,5810,0.5,6.7,192393,11604,1.9,12982,0.7,209.4,12392,5.7,13944,7460,5051,1.1,14656,10528,11054,1
20303,Surf Coast  Bellarine Peninsula,2016,19.6,9.7,9,12.8,12.8,14.1,12.4,5.9,2.5,4699,3930,1736,4755,4,4381,89.8,1.5,5215,5026,5084,0.5,0.3,2641,0.8,6.2,73696,5170,0.5,4124,0.2,79.2,4669,7.1,3420,3934,1828,1.3,3204,5306,4574,0.3
20401,Upper Goulburn Valley,2016,17.4,11,9.8,11,13.6,15.2,13.2,6.3,2.5,3864,3255,1389,3504,4,2763,87.7,1.2,4045,3182,4152,0.3,0.4,2042,0.4,8.2,54270,3261,0.9,2755,0.1,3.9,2986,5.2,2622,3095,1345,1.1,2702,4088,3220,0.8
