 sa3_code16, sa3_name16, tot_tot, tot_non_family_households, tot_family_households, hi_150_299_tot, hi_300_399_family_households, hi_400_499_family_households, hi_500_649_tot, hi_650_799_family_households, hi_650_799_tot,hi_2500_2999_fam_households, hi_1250_1499_tot, hi_1500_1749_fam_households, hi_4000_more_tot, hi_1000_1249_fam_households, hi_3500_3999_fam_households, hi_800_999_fam_households, hi_150_299_family_households, hi_1750_1999_tot, hi_800_999_tot, hi_2000_2499_tot, hi_400_499_tot, hi_2500_2999_tot, hi_4000_more_fam_households, hi_1_149_family_households, hi_1250_1499_fam_households, hi_1000_1249_tot, hi_1_149_tot, hi_3000_3499_tot, neg_nil_inc_fam_households, hi_500_649_family_households, hi_2000_2499_fam_households, negative_nil_income_tot, hi_1500_1749_tot, hi_3000_3499_fam_households, hi_300_399_tot, hi_1750_1999_fam_households, hi_3500_3999_tot
20101,Ballarat,39398,13553,25847,947,226,807,2238,2346,3531,1942,3105,1889,1320,2327,639,1893,185,2134,3201,3664,3388,2047,1295,104,2309,3469,263,1143,178,918,3223,473,2455,1117,1417,1759,835
20102,Creswick - Daylesford - Ballan,10805,3479,7328,289,47,250,555,688,968,521,824,475,349,723,171,576,74,517,896,947,966,545,331,57,666,989,115,295,60,243,837,180,618,281,382,425,221
20103,Maryborough - Pyrenees,10233,3722,6512,342,71,347,665,935,1222,277,721,403,99,729,64,621,65,424,912,608,1340,283,99,48,591,947,112,143,82,324,548,179,497,140,529,376,97
20201,Bendigo,35964,12204,23759,824,186,699,2057,2139,3246,1823,3049,1740,963,2317,552,1851,169,1970,3035,3347,2845,1895,939,114,2289,3378,266,1045,135,840,2888,341,2250,1002,1264,1630,725
20202,Heathcote - Castlemaine - Kyneton,17898,5632,12265,424,100,395,928,1091,1559,921,1361,835,684,1203,357,852,94,911,1327,1630,1587,961,662,81,1093,1627,182,537,79,364,1421,221,1068,529,611,777,453
20203,Loddon - Elmore,4449,1530,2919,126,26,137,223,349,456,133,334,197,79,303,48,246,21,224,393,280,548,139,76,30,286,395,64,73,41,97,261,92,238,76,199,201,63
20301,Barwon - West,6368,1250,5110,120,28,128,240,354,442,500,557,352,300,436,136,283,31,407,400,742,342,505,297,22,488,559,35,251,26,125,683,53,414,243,128,366,166
20302,Geelong,70912,23363,47555,1734,374,1529,3784,3854,5714,3920,5355,3142,2808,4107,1375,3206,407,3953,5304,7038,5763,4084,2725,217,3978,6139,553,2414,351,1554,6101,875,4185,2331,2477,3229,1693
20303,Surf Coast - Bellarine Peninsula,26657,7650,19006,468,100,483,1302,1403,2037,1650,2002,1269,1368,1637,663,1150,93,1574,1795,2768,1780,1728,1318,110,1559,2268,223,1015,163,474,2397,363,1634,981,672,1303,843
20401,Upper Goulburn Valley,20708,7099,13606,552,132,478,1162,1314,1882,973,1596,923,575,1285,257,1001,126,1123,1609,1704,1878,1021,507,93,1243,1860,193,489,141,475,1472,337,1160,468,771,943,376
